,Unnamed: 0,near_fid,near_x,near_y,near_angle,heard,building,xcoor,ycoor,noise,in_vehicle,asleep,no_windows,age,distance,distance_log,sin_angle,cos_angle
2330,2285,3029,2412855.3063,9822463.9468,159.30988158,1,0,2414984.0,9821660,0,0,0,0,67,2275.4488185079545,7.729932594787986,0.9300501333346546,-0.367432646187286
1316,2550,2309,1509329.88,8268213.6384,-50.101176427,1,0,1508751.0,8268906,0,0,0,0,68,902.478054888317,6.805144373998178,-0.5937491584633793,0.8046501953172129
3294,449,2540,1683195.2287,8597711.2675,88.726017172,0,0,1683046.0,8591001,1,0,0,0,62,6711.926632976628,8.811641317362723,-0.9886679475518998,-0.1501189178068968
4987,4783,1581,1469787.9724,7497860.0026,154.84033027,1,1,1470399.0,7497573,0,0,0,0,23,675.0742332281336,6.514822659978496,-0.8432141886686121,0.5375777451010544
2624,579,1341,1732662.3821,7591461.8077,-160.7460182,1,0,1733121.0,7591622,1,0,0,0,42,485.79002787184777,6.18577648912776,0.99968705647319,-0.0250157774208341
5116,3274,1320,1826121.7737,7946320.8665,-60.705101769,0,0,1815387.0,7965454,0,0,0,0,59,21938.82776993912,9.99601330350208,0.9604718856000232,-0.2783770051062695
37,3143,3248,1467386.3656,7485498.0348,174.99395928,1,0,1467695.0,7485471,0,0,0,0,55,309.8161927247123,5.735979194934169,-0.0379458509499024,0.9992797968515564
3423,969,1811,1328490.6993,7905858.6282,-164.00540683,1,1,1329106.0,7906035,0,0,0,0,36,640.0796538366948,6.46159262772916,-0.0339655806292578,0.9994230032036072
4450,3825,746,1733548.4852,8047495.1138,92.24652526,0,0,1735068.0,8008761,0,1,0,0,88,38763.907144388846,10.565244864443171,0.9997616818506484,0.0218307009315582
993,4139,71,2015908.0359,8255495.6315,108.84121924,1,0,2015955.0,8255358,0,0,0,0,44,145.423713613342,4.979651644052644,-0.8401983763069844,0.5422791609965362
3464,3897,1593,1480462.5096,7528911.1163,-99.219691192,0,0,1484076.0,7551173,1,1,0,0,55,22553.243197891148,10.023634157112246,-0.9819218263525328,0.1892868905458226
38,2940,267,2003859.3707,8259296.0729,102.74959913,1,0,2004080.0,8258321,0,0,0,0,29,999.7221855760312,6.907477425960592,-0.9999968279748386,-0.0025187378309392
1692,4853,3961,2442842.3282,9784352.9789,2.4901134218,1,0,2442015.0,9784317,0,0,0,0,32,828.1101567788381,6.719146185124247,0.0620792597098801,-0.9980712226659344
3715,567,3643,1444006.601,7610162.3815,171.42968001,1,0,1444958.0,7610019,0,0,0,0,35,962.1425631075898,6.86916263418452,0.4275976356492864,-0.9039691709273828
1968,3915,1864,1326789.1809,7903229.5592,-110.24147398,1,1,1327053.0,7903945,0,0,0,0,62,762.5326588608553,6.636645338857258,-0.9985654404829484,0.0535449444214404
3129,1055,784,1796432.7542,8096330.8566,175.29889562,1,1,1797416.0,8096250,0,0,0,0,40,986.5647941118568,6.894229004108474,0.9531778788656274,-0.3024102035997187
3707,5214,2779,1982914.3859,9085428.3375,83.054045152,1,0,1982702.0,9083685,0,0,0,0,65,1756.2270381207568,7.470923058616945,0.3330870560161778,0.9428960775793246
44,1926,1560,1474108.8383,7497861.5825,-30.270162929,1,0,1473553.0,7498186,1,0,0,0,61,643.5859927417382,6.467055650962401,-0.9919858762016018,-0.1263488085283763
1741,21,1505,1451602.0411,7471164.0038,117.74273624,1,0,1452138.0,7470145,1,0,0,0,26,1151.3560209178336,7.0486956753317696,-0.9989586965020488,-0.0456237074658258
1972,4493,2756,1935398.4406,8922103.8306,65.407072054,0,0,1911267.0,8869379,0,0,0,0,43,57984.77547796599,10.967935763312358,0.5512682029178041,-0.8343280940084511
2235,1039,3379,1429283.4852,7533601.3944,82.007840201,1,0,1429259.0,7533427,0,0,0,0,74,176.10488854734987,5.171079775181308,0.0492415144480174,0.9987869008226258
2067,1100,2448,1844047.44,8313045.3287,-114.5642604,1,0,1844290.0,8313576,0,0,0,0,58,583.4786904791563,6.369007930886907,0.3928787717926476,-0.9195902732601628
5144,4977,3781,1693885.9072,8239317.8469,128.70682937,1,0,1694014.0,8239158,1,0,0,0,51,204.83846526353796,5.3222216941992535,-0.963436978895303,-0.2679350438018354
773,4890,1904,1334622.8447,7901115.5107,43.473005365,1,0,1334135.0,7900653,0,0,0,0,54,672.2414736781806,6.510617611808118,0.1688002192381396,-0.9856502858444044
2047,748,425,2019929.3411,8228445.0457,-162.50533721,1,1,2020091.0,8228496,0,0,0,1,22,169.4990874244127,5.132847542879243,0.0335283944312191,-0.99943776532952
2949,4002,2685,1920647.7175,8552758.5501,112.30095541,1,0,1921216.0,8551373,0,0,0,0,66,1497.5627130166608,7.311594207587958,0.9491843566417384,-0.3147206016558325
2763,4980,105,2009827.654,8248727.0584,91.066458631,1,0,2009837.0,8248225,0,0,0,0,60,502.1453820628101,6.218889683466902,0.4055421763365057,0.9140763333618536
232,4541,620,1889878.1196,8131015.0229,135.46625325,1,0,1890179.0,8130719,0,0,0,0,18,422.088346710308,6.0452146445189525,0.2104517968423927,-0.9776042354684272
2528,1954,2597,1715635.5092,8516696.4937,-13.584425072,0,1,1682795.0,8524632,1,0,0,0,53,33785.66714973422,10.42779194271255,0.5059287746411398,-0.8625752575805283
1099,1435,3558,1576443.1766,7565032.2603,139.57293265,1,0,1576555.0,7564937,1,0,0,0,60,146.89791538246016,4.989737892353888,-0.4423787575503325,-0.8968283196176535
4304,619,4045,1996144.2621,8275275.8706,-131.3641015,1,1,1996604.0,8275798,0,0,0,0,36,695.685307478033,6.544897413658193,-0.753832494208948,-0.6570666409693284
4525,1922,2487,1805872.981,8334925.1071,-132.04904414,1,0,1806203.0,8335291,0,0,0,0,24,492.7374094096232,6.199976394026264,-0.3032995570744894,0.9528952611270656
2304,3807,463,2081978.9366,8346141.8621,-31.550779979,1,0,2080868.0,8346824,0,0,0,0,30,1303.6457508987414,7.1729200421581965,0.3136741575247193,-0.9495306856027128
3967,4532,3906,1851638.8728,9106026.7688,141.57533713,1,0,1901445.0,9066516,0,0,0,0,40,63574.76824833584,11.059971944956674,-0.4558768546082227,-0.8900428604469076
5650,3435,381,1984502.9151,8225406.4098,-136.21715552,1,0,1985380.0,8226247,0,0,0,0,78,1214.8538208955915,7.102379036516488,-0.9787815980059642,0.2049062795643195
489,2154,3358,1432837.8052,7643784.4592,-155.8006036,0,0,1442583.0,7648164,0,0,0,0,49,10684.062865259031,9.276508458268983,0.9498777230295842,0.3126216743799647
3222,1705,1365,1742081.5694,7601928.4501,72.776574288,1,0,1741879.0,7601275,0,0,0,0,39,684.1282007097493,6.528145327998359,-0.9860926689373046,0.1661964147269831
2774,32,785,1802623.6764,8091886.0419,-70.113912456,1,0,1802411.0,8092474,0,0,0,0,55,625.2407364152104,6.438136753838633,-0.6561707765704375,0.7546124250070024
3616,1933,79,2006960.5091,8252467.7237,-169.72270587,1,0,2007133.0,8252499,1,0,0,0,25,175.30350117591288,5.166518764208705,0.9853308955738088,-0.1706546988152271
1076,3890,684,1832584.3154,8274000.1225,119.86802878,1,0,1833915.0,8271683,0,0,0,0,54,2672.036336706821,7.890596133630994,-0.737390984819591,0.6754661616297251
2647,4716,2072,1345103.7976,7859179.2833,178.84622192,1,1,1345813.0,7859165,0,0,0,0,51,709.3462178828844,6.564343725937034,-0.822740817632064,0.5684167019028583
729,1064,3999,2037882.392,8286176.1857,-167.39820815,0,0,2075120.0,8294501,0,0,0,0,62,38156.80781579016,10.549459469437105,-0.5968561466199173,-0.8023482661799823
4215,2873,3969,2008515.1972,8281949.5465,41.773410734,1,1,2007441.0,8280990,0,0,0,0,21,1440.357285589424,7.272646476787267,-0.9892011724820065,0.1465641168916311
279,5047,2628,1757782.8495,8402420.9555,-141.06851496,1,1,1773684.0,8415266,0,0,0,0,31,20441.177936475437,9.925306671643233,-0.4173181357642411,0.9087604599465464
3867,4814,682,1838268.5113,8261067.6718,-21.635306588,1,0,1837829.0,8261242,0,0,0,0,23,472.8218524380582,6.158718684224445,0.7513835946728573,-0.6598656633410283
2824,22,211,2000884.3574,8251512.3043,-157.8988762,1,1,2002009.0,8251969,0,0,0,0,41,1213.833571842974,7.101538871482748,0.5934830561959672,0.8048464835037142
2403,2384,1171,1830041.7783,7771764.1974,-12.594946023,0,0,1818151.0,7774421,1,1,0,0,58,12183.9734337824,9.407876714154236,0.5618028432282564,-0.8272711558737239
431,1860,2,2007801.0827,8254203.6369,0.08368058637,1,0,2007365.0,8254203,0,0,0,0,42,436.0831650967776,6.077832970794209,0.5018883503896797,0.8649324157083754
4460,886,2142,1396648.7292,7952981.6152,23.225661403,1,0,1396363.0,7952859,0,0,0,0,50,310.9271023947883,5.739558487259449,0.9883299075143402,0.1523285722138026
1747,799,3754,1493117.8661,7925643.5119,-76.518120227,1,0,1492995.0,7926156,0,0,0,0,22,527.0105607770447,6.267220587765708,0.1136069350511992,-0.993525774355287
4306,2144,819,1671344.4895,8080203.5605,-51.830627104,1,0,1671014.0,8080624,0,0,0,0,60,534.7828370195843,6.281860752378458,0.874401671567893,0.4852027584003152
843,465,21,2010378.9081,8259842.8661,-50.552934434,1,1,2010025.0,8260273,0,0,0,0,30,557.0153634995635,6.322592822131386,0.3264986705977905,-0.9451976608614072
4692,2017,3947,2477095.7807,9764705.4334,51.358044943,1,0,2476523.0,9763989,0,0,0,0,44,917.2538072569432,6.821384213956614,0.7782850197826596,-0.6279111624918807
3863,3122,2745,1926057.622,8956178.915,134.42268605,1,1,1926084.0,8956152,0,0,0,1,48,37.68575472182092,3.629282164209685,0.4668963845734148,-0.8843120298131615
4957,1827,3685,1336005.4329,7939225.4447,-104.84475301,1,0,1336286.0,7940284,0,0,0,0,36,1095.1060317434194,6.998606470205016,0.827951866143922,0.5607991684630043
2573,5278,1569,1470975.0835,7500691.2886,-126.02345937,1,1,1471361.0,7501222,1,0,0,0,22,656.1906240283006,6.486451332141321,-0.1468663990412193,0.9891563379125998
4152,3585,3939,2464022.7537,9769363.7921,113.52106767,1,1,2464296.0,9768736,1,0,0,0,40,684.6798239215922,6.528951318658523,-0.1319858344883419,-0.991251602517956
3005,190,2610,1802136.8763,8430066.4905,168.54700431,1,0,1802855.0,8429921,0,0,0,0,43,732.7135416326902,6.596754822819467,-0.2910620749897835,-0.9567041697947396
1350,1111,32,2010922.8152,8253353.4186,127.17987026,1,1,2011090.0,8253133,1,0,0,0,70,276.649808561602,5.622752477356176,0.9044796649074768,0.4265167473486343
3940,5187,919,1576305.8082,7920834.0754,-101.17111915,1,1,1576368.0,7921149,0,0,0,0,38,321.0067346211186,5.771462103038031,-0.8796725954417578,0.475579777564986
991,1780,1793,1319969.4149,7909611.7422,175.003856,1,1,1320241.0,7909588,0,0,0,0,47,272.620906393611,5.6080822088881455,0.0242255923353686,0.9997065172719444
3973,4120,842,1676389.6002,8009501.5539,-107.33030686,0,0,1677842.0,8014156,1,0,0,0,66,4875.790569420308,8.492037538370342,-0.8753762026822672,-0.4834423479356916
2218,1198,2824,1650074.0065,9120857.4277,67.595450807,0,0,1618687.0,9044724,1,1,0,0,59,82349.51724437822,11.318727873346688,-0.5644238288692999,-0.8254851551690795
1278,3981,3224,1699855.7488,7598102.7376,54.277527875,1,0,1699318.0,7597355,0,0,0,0,56,921.0240443954796,6.825486142750012,0.9850791987313352,-0.1721016334229019
4292,4336,831,1684851.9965,8034691.8292,156.19166419,1,0,1686114.0,8034135,0,0,0,0,30,1379.3881223153564,7.229395290198451,0.9335748496930704,0.3583824772788997
3054,1703,182,2004511.8144,8239332.2256,-177.91429206,1,0,2005247.0,8239359,1,0,0,0,47,735.6729809791152,6.600785700667943,0.5128650495299492,0.858469242879815
2412,4452,223,1989154.8453,8260591.1401,121.8532889,1,0,1989565.0,8259931,0,0,0,0,55,777.1819796937663,6.655674531045297,-0.796698680694388,0.6043767137968021
4071,327,233,1991716.8633,8262983.284,-4.7668856225,1,0,1989190.0,8263194,0,0,0,0,36,2535.6339186766145,7.838198951302957,0.9943771502716166,0.1058965675444628
1029,2757,282,2018590.7242,8259461.6576,-82.956341492,1,0,2018542.0,8259856,1,0,0,0,55,397.34113316361424,5.984795189209849,0.2708871268819975,0.9626111179960558
3390,1720,4025,1997787.3378,8289173.3798,130.38974281,1,0,1998561.0,8288264,0,0,0,0,49,1193.9534414528678,7.085025299434204,0.6386682850896417,-0.7694821775848069
302,1665,2319,1400500.0496,8323544.8888,35.619964262,0,0,1339112.0,8279563,1,0,0,0,27,75517.54217470014,11.232120254933577,-0.6843833998772492,-0.7291223230518027
3438,1125,1957,1354872.9734,7914232.9629,117.51584191,1,1,1354899.0,7914183,0,0,0,0,33,56.335382167323885,4.031322795427749,-0.0993733719360237,-0.9950502162956726
3780,691,1847,1338048.1454,7909187.5268,-136.18956481,1,0,1338672.0,7909786,0,0,0,0,50,864.5025928585887,6.762154304376903,-0.928766419055462,0.3706655349973797
395,5125,3039,2421040.9624,9812324.7253,95.959931729,0,0,2422467.0,9798665,1,1,0,0,53,13733.960772772343,9.527626932963663,-0.2491053470693725,0.968476394168411
4949,3974,2712,1998301.4112,9011692.1615,163.02757252,1,1,1998433.0,9011652,0,0,0,0,76,137.5810974213172,4.9242135426710645,0.1723779539802746,0.9850308832628418
3462,485,679,1836070.3966,8257529.7021,68.68102293,0,0,1824946.0,8229025,1,1,0,0,29,30598.533323083604,10.32870735617358,-0.907544938318092,-0.4199549796504506
385,1718,2749,1933309.5302,8933633.3922,1.7089998353,0,0,1912550.0,8933014,1,1,0,0,46,20768.768399260716,9.941205618013347,-0.9670012241148214,-0.2547717263756656
5056,5082,4004,1986378.6484,8315990.2537,24.245902802,1,1,1986085.0,8315858,0,0,0,0,55,322.0565540186216,5.774727163720837,0.9996686555808204,0.0257406108947556
1503,4581,739,1743183.9663,8052651.9247,174.9718306,1,1,1744081.0,8052573,0,0,0,0,53,900.4990656329874,6.802949127006352,-0.1760709019439771,0.9843774872926718
1602,4607,115,2012061.1682,8248279.0209,-146.21533499,1,0,2012239.0,8248398,0,0,0,0,36,213.96302327293012,5.365803211647957,-0.9763737486676044,0.216088645959869
4101,3924,2540,1683195.2287,8597711.2675,110.53076421,0,0,1696278.0,8562777,1,1,0,0,55,37303.64527294434,10.526846329353956,-0.1920957585405023,-0.9813761865618856
4086,5686,110,2011993.82,8249750.4046,-132.63204136,1,0,2012045.0,8249806,1,0,0,0,27,75.56613594165268,4.325008245551889,0.7376885929077053,-0.6751411259091316
155,3321,3800,1676423.998,8193052.996,64.549679213,0,0,1670003.0,8179561,0,0,0,0,57,14941.993554409872,9.611930887161666,-0.3070994525491984,-0.9516774276213462
1092,5175,41,2010029.6988,8253732.5669,163.39724534,0,1,2010206.0,8253680,1,0,0,1,72,183.97117191854815,5.21477907097856,0.6016990123750537,-0.7987229172290506
5524,5589,3993,2008411.0022,8274165.3795,103.44081599,1,0,2008782.0,8272613,0,0,0,0,72,1596.0956987676202,7.375315737845974,0.3633527559921543,-0.93165163806699
5141,5495,2487,1805872.981,8334925.1071,-150.43541113,1,0,1806347.0,8335194,0,0,0,0,61,544.974682009787,6.300739338556262,-0.3947758189645998,-0.9187774772820836
5556,3481,1986,1341562.5018,7909203.9947,-121.52659106,1,0,1341649.0,7909345,0,0,0,0,57,165.42198533273248,5.108499695961371,0.1663003298112804,-0.986075149420499
4287,4503,2112,1326218.4459,8038738.0111,79.756154936,0,0,1322153.0,8016242,1,1,0,0,79,22860.41044638392,10.037161891972564,-0.9992523080639688,0.0386629645634034
3338,4754,1183,1730282.3712,7685156.9186,33.581554711,1,0,1729918.0,7684915,0,0,0,0,64,437.3682434923308,6.080775502708757,-0.4902907871349189,-0.8715589159951389
285,4116,2800,1496061.1532,9187946.2852,-11.60167796,0,0,1443150.0,9198809,1,0,0,0,36,54014.70823562801,10.897011663193,0.5962818398721171,-0.8027751661821153
4051,953,2672,1908689.3325,8550768.3253,110.25699656,1,1,1909098.0,8549661,1,0,0,0,65,1180.3298037318516,7.073549173096356,0.9990338847785964,-0.0439465250524554
4217,2856,3850,1903866.9721,8795213.6899,-6.4630933374,1,1,1903467.0,8795259,0,0,0,0,35,402.5303540608703,5.997770507830966,-0.2298187074544894,-0.9732334569382352
2033,451,1829,1331137.7654,7905290.8634,93.69841778,1,1,1331147.0,7905148,0,0,0,0,26,143.16154824799742,4.963973700647933,-0.9479375145023602,-0.3184563841393161
4743,4793,2183,1539451.821,8039765.3817,45.928138273,0,0,1537613.0,8037866,1,1,0,0,57,2643.655331607185,7.87991783377792,-0.4363342031013566,0.8997846760219381
4188,1175,1833,1330628.2562,7904784.3907,-124.56126303,1,0,1330825.0,7905070,0,0,0,0,24,346.8152174930598,5.848792123681473,0.3754914516280444,-0.9268258572969704
1433,1152,815,1675357.6685,8081915.7668,60.767099265,1,0,1675111.0,8081475,0,0,0,0,29,505.0947642519568,6.224746063655001,-0.994234103590282,0.1072312792893389
570,3687,575,1969432.8163,8367702.4215,-168.57941996,1,1,1969802.0,8367777,0,0,0,0,61,376.6411515061348,5.931292881379618,0.4785567831106941,-0.8780566071380274
3300,4619,822,1678075.8679,8083324.9838,-172.17756389,0,0,1701063.0,8086483,1,0,0,0,70,23203.045242000404,10.052038809471556,-0.8982041093709097,0.4395786367752771
1956,4128,2606,1798342.44,8430378.5846,-107.95251707,1,0,1798814.0,8431834,0,0,0,0,41,1529.9028793221007,7.33295953480444,0.2939378109428669,0.9558245462939918
647,1164,3543,1448958.3145,7454361.9339,-36.642133562,1,0,1444894.0,7457385,0,0,0,0,36,5065.33128234301,8.530174820732048,0.7789887827138717,-0.6270378588298798
1228,5294,3327,1490464.232,7583822.3047,-55.523245099,1,0,1490415.0,7583894,0,0,0,0,20,86.97129334479958,4.465578102651264,0.1455345608142398,-0.9893531682915896
5455,2498,3729,1443612.196,7905585.679,116.68111998,0,0,1465314.0,7862401,1,0,0,0,70,48330.99209810841,10.785828292211898,-0.9078008510372226,-0.4194014960107965
2626,412,1147,1791057.2473,7635020.1061,62.659211421,1,0,1781175.0,7615907,0,0,0,0,68,21516.729223751227,9.97658601498051,-0.8416626641264382,-0.5400036664834661
1416,4523,438,2022552.1398,8217147.1969,162.84204703,1,0,2023071.0,8216987,0,0,0,0,36,543.0275811720818,6.29716011269936,-0.8373665449296677,0.5466418109077926
4472,481,1572,1468253.0993,7496293.6798,175.9578009,1,0,1468758.0,7496258,0,0,0,0,76,506.1598215866693,6.2268524723545084,-0.2620489771133297,0.9650545754483824
3576,2796,2544,1715960.0057,8431666.2243,49.160762623,1,0,1715487.0,8431119,0,0,0,0,79,723.3179292288867,6.583848861642702,0.8468857447660766,0.5317748915772611
187,1027,3345,1452080.8263,7585356.9889,-73.10276328,1,0,1449654.0,7593346,0,0,0,0,55,8349.47808226907,9.0299543107739,-0.6017422711702427,0.798690327402854
3941,4572,2411,1835887.4986,8317184.5359,-40.529168541,1,1,1834791.0,8318122,0,0,0,0,66,1442.6184937784903,7.274215139742349,0.1822471050598216,-0.9832527613474138
2049,2340,89,2002379.3781,8249974.2463,89.083788117,1,1,2002359.0,8248700,0,0,0,0,72,1274.4092356942126,7.15023800566171,0.5024726142977127,0.8645931250483212
3797,454,1976,1318602.3003,7906062.4089,138.33121504,1,0,1319014.0,7905696,0,0,0,0,75,551.1371199433145,6.311983634714708,0.8726033166420224,-0.48842957709924
3762,3737,3970,2011559.7853,8289464.6558,-71.146600452,1,0,2010888.0,8291432,0,0,0,0,18,2078.879190951347,7.639584176959096,-0.7962783122727002,0.6049304500553268
4173,5347,1455,1445826.6746,7471267.3417,-3.3184672643,1,1,1444953.0,7471318,0,0,0,0,24,875.142028498302,6.774386191469201,-0.908885481420817,-0.4170457788570094
894,4042,936,1587605.9611,7920931.9918,79.072230734,1,0,1587460.0,7920176,0,0,0,0,41,769.953404031943,6.646329998772439,0.4384192146357685,0.8987706004527273
2080,1991,4008,1987203.1919,8315213.6884,-128.23082004,1,0,1987606.0,8315725,0,0,0,0,67,650.9177503493416,6.478383290677153,-0.9927473040999492,0.1202197579530201
1641,3302,533,1959671.5442,8364551.7862,54.39983073,1,1,1959555.0,8364389,0,0,0,0,66,200.20463896734523,5.299340038277722,0.5886453535830442,-0.8083913951206388
4269,4862,3774,1687877.3264,8236837.4964,93.974208667,0,0,1688167.0,8232668,1,0,0,0,62,4179.5467486495,8.337958086302043,-0.1613433883241957,0.986898328625633
5079,758,2676,1905757.7338,8551847.6981,-49.096923841,1,0,1903097.0,8554919,0,0,0,0,30,4063.5452151295776,8.309811077270416,-0.5720396956777306,0.8202259362937321
1183,1426,2721,1928906.9557,8954624.3925,80.039389079,0,1,1928726.0,8953594,1,0,0,0,75,1046.161397404297,6.952882932343605,0.2449701287829398,0.969530626645734
300,617,2853,2260649.9477,9303791.1731,-91.856489815,1,0,2260689.0,9304996,0,0,0,0,32,1205.4596389337603,7.094616216292388,0.7843831876682027,0.6202765632389063
